Particle size (cm),% mass
0.00002,0.171375182520062
0.00003,0.528457102497336
0.00004,0.852715888364227
0.00005,1.1137057877917
0.00006,1.23507515181233
0.00007,1.34423638530344
0.00008,1.38462107724922
0.00009,1.40451148112387
0.0001,1.42219184012356
0.0002,2.17724777258547
0.0003,3.70051693801482
0.0004,5.34522536439908
0.0005,6.96142122567406
0.0006,8.49106568233876
0.0007,9.72495265487663
0.0008,10.8037515765732
0.0009,11.3896339753193
0.001,12.042655083324
0.002,10.3826502300128
0.003,5.9381583008951
0.004,2.56960334451724
0.005,0.933790046491858
0.006,0.0751457229274724
