Particle size (cm),%mass
0.00001,0
0.000015,0.165283231
0.00002,0.314813167
0.000025,0.414474354
0.00003,0.506439737
0.000035,0.603383048
0.00004,0.694607033
0.000045,0.768688025
0.00005,0.844098913
0.0001,1.581823636
0.00015,2.214413166
0.0002,2.90134614
0.00025,3.806692454
0.0003,4.778367196
0.00035,5.930469937
0.0004,7.302839174
0.00045,8.325391128
0.0005,9.631840158
0.001,15.08765959
0.0015,12.6395217
0.002,10.86716414
0.0025,4.99330926
0.003,2.881078571
0.0035,1.516158297
0.004,0.830918425
0.0045,0.263273062
0.005,0.133518729
